qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
5002,861,811,3,19,13,01:38.4,01:37.8,
5003,861,814,10,11,14,01:38.3,01:37.9,
5004,861,817,5,16,15,01:38.4,01:37.9,
5005,861,807,10,12,16,01:38.3,01:37.9,
5006,861,155,15,14,17,01:38.4,01:38.1,
5007,861,818,5,17,18,01:39.1,,
5008,861,5,207,20,19,01:39.3,,
5009,861,808,207,21,20,01:39.6,,
5010,861,10,206,24,21,01:40.9,,
5011,861,819,206,25,22,01:41.3,,
5012,861,37,164,22,23,01:42.9,,
5013,861,39,164,23,24,01:43.7,,
5014,862,3,131,8,1,01:36.9,01:35.7,01:35.1
5015,862,1,1,4,2,01:36.8,01:35.9,01:35.6
5016,862,30,131,7,3,01:36.8,01:35.8,01:35.7
5017,862,155,15,14,4,01:36.9,01:35.9,01:35.8
5018,862,8,208,9,5,01:36.9,01:35.9,01:35.9
5019,862,18,1,3,6,01:36.7,01:35.9,01:36.2
5020,862,17,9,2,7,01:36.7,01:35.7,01:36.3
5021,862,815,15,15,8,01:36.2,01:35.8,01:36.5
5022,862,4,6,5,9,01:36.3,01:36.0,01:36.6
5023,862,154,208,10,10,01:36.3,01:35.9,
5024,862,20,9,1,11,01:36.9,01:36.0,
5025,862,13,6,6,12,01:36.6,01:36.3,
5026,862,813,3,18,13,01:36.5,01:36.3,
5027,862,811,3,19,14,01:36.7,01:36.3,
5028,862,814,10,11,15,01:36.6,01:36.3,
5029,862,807,10,12,16,01:36.9,01:36.7,
5030,862,817,5,16,17,01:36.9,01:37.0,
5031,862,818,5,17,18,01:37.7,,
5032,862,5,207,20,19,01:38.5,,
5033,862,808,207,21,20,01:38.7,,
5034,862,10,206,24,21,01:39.3,,
5035,862,819,206,25,22,01:39.7,,
5036,862,37,164,22,23,01:40.4,,
5037,862,39,164,23,24,01:41.0,,
5038,863,20,9,1,1,01:34.3,01:33.5,01:32.4
5039,863,1,1,4,2,01:34.8,01:33.2,01:32.5
5040,863,17,9,2,3,01:34.0,01:33.3,01:32.6
5041,863,18,1,3,4,01:34.8,01:33.4,01:32.7
5042,863,3,131,8,5,01:34.6,01:33.2,01:32.8
5043,863,817,5,16,6,01:34.0,01:33.6,01:32.9
5044,863,154,208,10,7,01:34.0,01:33.2,01:33.0
5045,863,815,15,15,8,01:33.8,01:33.7,01:33.4
5046,863,4,6,5,9,01:34.8,01:33.4,
5047,863,814,10,11,10,01:36.6,01:33.5,
5048,863,8,208,9,11,01:34.6,01:33.8,
5049,863,155,15,14,12,01:34.1,01:33.8,
5050,863,807,10,12,13,01:34.6,01:33.8,
5051,863,13,6,6,14,01:34.4,01:33.9,
